German,2017_04_22,Bayern Munich,Mainz,1.15,8.0,17.0
Spanish,2017_04_21,Sevilla,Granada,1.18,8.0,13.0
Italian,2017_04_23,Lazio,Palermo,1.18,8.0,13.0
Italian,2017_04_23,Juventus,Genoa,1.18,7.0,15.0
Italian,2017_04_22,Atalanta,Bologna,1.36,5.25,8.0
Italian,2017_04_23,AC Milan,Empoli,1.36,5.5,7.5
English,2017_04_25,Chelsea,Southampton,1.4,4.75,8.0
German,2017_04_22,Hamburg,Darmstadt,1.44,4.75,7.0
English,2017_04_23,Liverpool,Crystal Palace,1.5,4.33,6.5
Spanish,2017_04_22,Villarreal,Leganes,1.65,3.6,6.0
Spanish,2017_04_23,Real Sociedad,Deportivo La Coruna,1.66,3.8,5.5
English,2017_04_22,Bournemouth,Middlesbrough,1.8,3.5,4.75
German,2017_04_22,Eintracht Frankfurt,Augsburg,1.8,3.5,4.75
English,2017_04_22,Hull,Watford,1.9,3.6,4.0
Italian,2017_04_23,Sampdoria,Crotone,1.9,3.6,4.0
Italian,2017_04_23,Udinese,Cagliari,1.9,3.6,4.0
Spanish,2017_04_23,Celta Vigo,Real Betis,2.0,3.5,3.8
Spanish,2017_04_23,Las Palmas,Alaves,2.05,3.6,3.5
Spanish,2017_04_23,Real Madrid,Barcelona,2.15,3.8,3.1
English,2017_04_22,Swansea,Stoke,2.25,3.3,3.3
German,2017_04_22,Ingolstadt,Werder Bremen,2.3,3.3,3.2
Spanish,2017_04_22,Malaga,Valencia,2.3,3.4,3.1
German,2017_04_22,Hertha Berlin,Wolfsburg,2.4,3.3,3.0
Spanish,2017_04_22,Osasuna,Sporting Gijon,2.6,3.5,2.62
German,2017_04_23,Schalke,Leipzig,2.8,3.4,2.5
Italian,2017_04_23,Chievo,Torino,3.0,3.5,2.3
English,2017_04_22,West Ham,Everton,3.2,3.4,2.25
German,2017_04_21,FC Koln,Hoffenheim,3.25,3.6,2.15
German,2017_04_22,M'gladbach,Dortmund,3.4,3.6,2.1
German,2017_04_23,Freiburg,Leverkusen,3.5,3.6,2.05
Spanish,2017_04_22,Espanyol,Atletico Madrid,5.5,3.75,1.66
English,2017_04_23,Burnley,Man Utd,6.5,4.0,1.55
Italian,2017_04_23,Sassuolo,Napoli,7.0,4.75,1.4
Italian,2017_04_24,Pescara,Roma,10.0,6.5,1.25
