Betway,English,2017_04_30,Man Utd,Swansea,1.4,4.75,9.0
Betway,Spanish,2017_04_28,Villarreal,Sporting Gijon,1.45,4.5,7.0
WilliamHill,German,2017_04_29,Leipzig,Ingolstadt,1.53,4.0,6.0
Betway,German,2017_04_30,Hoffenheim,Eintracht Frankfurt,1.57,4.5,5.75
Betway,Italian,2017_04_30,Cagliari,Pescara,1.57,4.33,5.5
WilliamHill,English,2017_04_29,Southampton,Hull,1.67,3.6,5.5
WilliamHill,Italian,2017_04_29,Torino,Sampdoria,1.67,3.75,5.0
WilliamHill,Italian,2017_04_30,Genoa,Chievo,1.73,3.5,5.0
WilliamHill,English,2017_04_29,Crystal Palace,Burnley,1.83,3.1,5.0
WilliamHill,Italian,2017_04_30,Roma,Lazio,1.91,3.2,4.33
Betway,English,2017_04_30,Tottenham,Arsenal,1.87,3.8,4.2
Betway,German,2017_04_29,Werder Bremen,Hertha Berlin,1.95,3.5,4.2
WilliamHill,Italian,2017_04_30,Empoli,Sassuolo,2.2,3.2,3.4
Betway,English,2017_04_29,Stoke,West Ham,2.15,3.4,3.6
Betway,German,2017_04_29,Mainz,M'gladbach,2.15,3.6,3.4
WilliamHill,Spanish,2017_04_30,Real Betis,Alaves,2.2,3.2,3.4
WilliamHill,Spanish,2017_04_30,Eibar,Leganes,2.2,3.2,3.4
WilliamHill,German,2017_04_28,Leverkusen,Schalke,2.37,3.1,3.1
Betway,Italian,2017_04_30,Bologna,Udinese,2.4,3.2,3.1
Betway,German,2017_04_30,Augsburg,Hamburg,2.55,3.3,2.9
WilliamHill,English,2017_04_29,West Brom,Leicester,2.62,3.1,2.75
