Spanish,2017_04_05,Barcelona,Sevilla,1.25,6,11,1
German,2017_04_04,Dortmund,Hamburg,1.35,5.5,8.5,1
English,2017_04_05,Liverpool,Bournemouth,1.36,5.5,8,0
English,2017_04_05,Arsenal,West Ham,1.4,4.8,7.5,1
Spanish,2017_04_05,Alaves,Osasuna,1.4,4.6,9,0
Spanish,2017_04_04,Atletico Madrid,Real Sociedad,1.44,4.5,8,1
English,2017_04_04,Leicester,Sunderland,1.57,4.2,6,1
English,2017_04_04,Man Utd,Everton,1.57,4,6.5,0
Spanish,2017_04_04,Athletic Bilbao,Espanyol,1.67,3.8,5.5,1
Spanish,2017_04_05,Deportivo La Coruna,Granada,1.7,4,5,0
English,2017_04_05,Southampton,Crystal Palace,1.73,3.6,5.5,1
German,2017_04_05,Wolfsburg,Freiburg,1.8,3.75,4.6,0
German,2017_04_05,M'gladbach,Hertha Berlin,1.83,3.4,5,1
Spanish,2017_04_06,Eibar,Las Palmas,1.91,3.75,4,1
Spanish,2017_04_06,Valencia,Celta Vigo,2,3.6,3.8,1
English,2017_04_05,Hull,Middlesbrough,2.15,3.2,3.8,1
German,2017_04_04,FC Koln,Eintracht Frankfurt,2.25,3.3,3.4,1
English,2017_04_04,Burnley,Stoke,2.4,3.25,3.1,1
